id	sent1	sent2	label
60	هناك إعلانات تجارية في منتصف برنامج تلفزيوني	هناك حفلات شواء في منتصف برنامج تلفزيوني	1
61	كان متعبًا فذهب إلى سيارته.	كان متعبًا فذهب إلى فراشه.	0
62	في بعض الأحيان تتقيأ بعد أن تسكر	لا تتقيأ أبدًا بعد أن تسكر	1
63	يمكنك استخدام قنديل البحر لإجراء الشيكات.	يمكنك استخدام حامل دفتر الشيكات لإجراء الشيكات.	0
64	المحامون هم الأشخاص الذين يلعبون الشخصيات في التلفزيون أو المسرح	الممثلون هم الأشخاص الذين يلعبون الشخصيات في التلفزيون أو المسرح	0
65	قادت الزرافة سيارة	قاد الرجل سيارة.	0
66	كلب صغير يسمى هريرة	كلب صغير يسمى جرو	0
67	ذهب الببغاء للعمل	ذهب الرجل إلى العمل	0
68	ابنتي تستحم دائمًا في حوض المطبخ وتتجنب حوض الاستحمام	ابنتي تستحم دائمًا في الحمام وتتجنب حوض الاستحمام	0
69	قتله بسكين	قتله بلغة برمجة	1
70	تشاركت السينما معهم الفشار	تشاركوا الفشار في السينما	0
71	عادة ما يكون للطعام الفاسد رائحة كريهة.	عادة ما يكون للطعام الفاسد رائحة زكية.	1
72	ممثل يرتدي آلة تحميص الخبز.	يمكن للممثل ارتداء زي للتمثيل.	0
73	نام الرجل في السرير.	نام الرجل على البركان.	1
74	تحدثت إلى شبح عند الباب.	تحدثت إلى رجل عند الباب.	0
75	لن ترى معلمًا داخل المدرسة أبدًا.	ستجد معلمين في المدرسة.	0
76	قطعت بيتزا باستخدام سكين.	قطعت بيتزا باستخدام لوحة إعلانية.	1
77	قاموا ببناء الشمس	قاموا ببناء منزل.	0
78	وضع الرجل بعض الكعك في الميكروويف	وضع الرجل بعض المباني في الميكروويف	1
79	كان هناك دجاجة طائرة.	كان هناك طائر يطير.	0
80	لعب البقرة بشكل جيد للغاية	لعب القيثارة بشكل جيد للغاية	0
81	إذا توقفت ضربات قلبك ، يتم تصنيفك على أنك ميت.	أنت ما زلت على قيد الحياة إذا لم يكن لديك ضربات قلب.	1
82	قفز عليه الترامبولين	قفز على الترامبولين	0
83	جورجيا تك هي مدرسة.	تقوم جورجيا تك بتدريب التنين	1
84	كانت تذهب إلى المدرسة في حافلة	كانت تذهب إلى المدرسة في صندوق غداء	1
85	القمر يصبح ممتلئًا مرة واحدة تقريبًا في الشهر	يتم إصلاح القمر وبهذه الطريقة يعود بالكامل	1
86	دفع الرجل الفاتورة نقدا.	دفع الرجل الفاتورة بالماء.	1
87	أنت تطبخ العشاء	أنت تطبخ الموسيقى	1
88	تكتب القصة في الورق	تكتب القصة في الماء	1
89	التخزين في كل جهاز كمبيوتر غير محدود.	يمكن للكمبيوتر أن ينفد من التخزين.	0
90	يبكي الناس فقط عندما يكونون غاضبين.	يبكي الناس عندما يكونون حزينين.	0
91	يحب معظم الناس تناول القهوة والكعك في الصباح.	يحب معظم الناس تناول الهامبرغر والحلوى في الصباح.	1
92	ضرب فرانك ويل بحجر تسبب له الألم	ضرب فرانك ويل بوسادة تسببت له الألم	1
93	وضع الجورب على الطبل.	وضع جوربًا على قدمه.	0
94	حلق أسنانه	حلقَ لحيته	0
95	وضعت الخردل على نجمة.	وضعت الخردل على حشيشة الذرة.	0
96	كانوا يرتدون أحذية للمشي في الخارج	يرتدون بدلات غيلي للخروج	1
97	كان يعزف الموسيقى	كان يعزم الثلاجة	1
98	يمكن للشخص زيارة الأقارب.	لا يسمح لأي شخص بزيارة أقاربه.	1
99	الأحذية الضيقة مريحة.	الأحذية الضيقة تسبب الانزعاج.	0
100	يعد انخفاض ضغط الدم طريقة خطيرة للنظام الغذائي وفقدان الوزن.	النظام الغذائي طريقة رائعة لخفض ضغط الدم وفقدان الوزن.	0
101	يمكن للنباتات صنع أجهزة الكمبيوتر	يمكن للنباتات أن تصنع الكربوهيدرات	0
102	يحب صديقي أن يأكل طعامًا غير نباتي	يحب صديقي أن يأكل السلع الإلكترونية.	1
103	أوروبا في فرنسا	فرنسا في أوروبا	0
104	قاد سيارته إلى لندن	قاد سيارته إلى القمر	1
105	عيد ميلاد الأطفال هو اليوم الذي التقى فيه والديهم.	عندما يولد طفل ، يسمى ذلك اليوم بعيد ميلاده.	0
106	محلات الأغنام في وول مارت	سيدة تسوق إلى وول مارت	0
107	لا يمكنك أن تسكر من الكحول.	شرب الكحول يجعلك في حالة سكر.	0
108	أطلقت البندقية رصاصة	أطلق صنبور النار رصاصة	1
109	الغابة هي منطقة مغطاة بالثلج	الغابة هي منطقة مغطاة بالأشجار	0
110	بنى المبنى الشخص	قام الشخص ببناء المبنى	0
111	العشب ينمو.	العشب يغني.	1
112	قطعت اللحم بثلاجة.	قطعت اللحم بسكين.	0
113	ركضت إلى الحظيرة.	ركضت إلى السماء.	1
114	لا أحد يستخدم الأقلام للكتابة.	يكتب الناس مع الأقلام.	0
115	يسبح الحوت في حوض الاستحمام.	يسبح الحوت في المحيط.	0
116	الملاكم لن يلعب أبدًا في مباراة ملاكمة.	من المرجح أن يلقي الملاكم لكمة في مباراة ملاكمة.	0
117	كان هناك شخص يشرب حمض الكبريتيك.	كان هناك شخص يشرب الماء.	0
118	شربت فنجان من الإطارات.	شربت فنجان من الشاي.	0
119	كان يغير قنوات التلفزيون بجهاز تحكم عن بعد	كان يغير القنوات التلفزيونية بمفك البراغي	1
120	يسبح الحوت عبر المحيط	سبحت الزرافة عبر المحيط	1
121	نقل مدينة لممتلكاته	نقل أمتعته إلى مدينة جديدة	0
122	وضع الآيس كريم في الفريزر	وضع الآيس كريم في الخزانة	1
123	كانت الطائرة مليئة بالناس	كان الناس مليئين بالطائرات	1
124	ذهبت إلى المحل لشراء الخبز	ذهبت إلى المتجر لشراء اليدين	1
125	أخذ الرصيف إلى سلة المهملات.	أخرج القمامة إلى الرصيف.	0
126	أشعلت أليس شمعة في الليل	أضاءت أليس صخرة في الليل	1
127	طارت على بيتزا.	لقد تسلمت بيتزا.	0
128	يمكن للموسيقي أن يعزف على آلة موسيقية	يمكن للموسيقي إجراء عملية جراحية	1
129	نظفت أسنانها بشاحنة.	قامت بتنظيف أسنانها بفرشاة.	0
130	دخل البيت الرجل	دخل الرجل البيت	0
131	وضع حوتًا على الرف.	وضع برتقالة على الرف	0
132	جيل أكلت المعالج في كتابها.	كتب جيل كتابًا عن المعالجات.	0
133	يسافر بالحافلة للوصول إلى المكتب.	يسافر بواسطة كمبيوتر محمول للوصول إلى المكتب.	1
134	يشتري برغر ليأكله.	يشتري كتاباً ليأكله.	1
135	يذوب الجدول في درجة حرارة الغرفة.	يذوب الجليد في درجة حرارة الغرفة.	0
136	مشى إلى المريخ	مشى إلى المتجر	0
137	رفع الدف بيديه.	رفع جرار بيديه.	1
138	قام جاك بقطع جبل	قام جاك بقطع شجرة	0
139	سبح في الحمم البركانية	سبح في البحيرة	0
140	وضع بطاقة في محفظته.	وضع الحصان في محفظته.	1
141	كتبت المرأة القصة بقلم رصاص على الورق	كتبت المرأة القصة بملعقة على الورق	1
142	أكلت قالب طوب	أكلت موزة	0
143	السيوف تستخدمني	أنا أستخدم السيوف	0
144	جاك يقود سيارته كل يوم	جاك يطير بسيارته كل يوم	1
145	كانت بحاجة إلى الاتصال بوالدتها لكنها لم تتمكن من العثور على هاتفها	كانت في حاجة إلى الاتصال بأمها لكنها لم تتمكن من العثور على مفاتيح سيارتها	1
146	قدم الخضروات على العشاء	قدم العالم على العشاء	1
147	ذهب إلى المطعم لأنه يشعر بالجوع	ذهب إلى صالون التجميل لأنه يشعر بالجوع	1
148	ضرب البيانو	عزف البيانو	0
149	اليوم يكون 30 ساعة	اليوم يكون 24 ساعة	0
150	الكوب مخصص لحمل سائل تخطط لشربه.	الكوب مخصص لحمل الغاز الذي تخطط لشربه.	1
151	أنا لبست بنفسي	ألبس أسداً	1
152	ألقى سندان الحداد في السلة.	ألقى الكرة في السلة.	0
153	أحب أكل البيض المسلوق	أحب أكل الآيس كريم المطبوخ	1
154	أكل رافعة.	أكل الشواء.	0
155	رقص على الملعقة	رقص على الأرض	0
156	المناظر الطبيعية هي لوحة أو صورة تركز على وجه الشخص	الصورة هي لوحة أو صورة تركز على وجه الشخص	0
157	يفرك الطفل الطين على وجهه.	أكل الطفل الطين من على وجهه.	1
158	قام رجل بتذويب الدجاج باستخدام الميكروويف.	قام رجل بتذويب الدجاج باستخدام ولاعة.	1
159	كان يمشي على الماء	كان يسير على الطريق.	0
160	سمكة قرش تقابل سمكة.	سمكة قرش تأكل سمكة	0
161	رفعت جرار.	رفعت كرسي.	0
162	تقوم بإجراء مكالمة بجانب الموقد.	تقوم بإجراء مكالمة هاتفية.	0
163	تشرق الشمس في النهار	تشرق الشمس في الليل	1
164	الفيل يأكل	الكتاب يأكل	1
165	تكتب المرأة في الكتاب.	تكتب المرأة في السماء.	1
166	بلد الدنمارك موجود	بلد liegenpoofa موجود	1
167	لن تجد الغبار على سطح المكتب.	شيء يمكنك العثور عليه على سطح المكتب هو الغبار.	0
168	الكلاب تأكل طعام الكلاب.	الكلاب تأكل أسلاك التمديد.	1
169	يحب الأطفال قراءة القصص	يحب الأطفال غسل الملابس	1
170	يمكنك الاستحمام في حوض الاستحمام	يمكنك الاستحمام في الخلاط	1
171	كانت العملة مصنوعة من الفضة	كانت العملة مصنوعة من الجبن	1
172	يتم استخدام شوكة لقطع الخبز	يتم استخدام سكين الخبز لقطع الخبز	0
173	تصنع العجة ببيض الحصان.	تصنع العجة من بيض الدجاج.	0
174	استلقيت على السرير للنوم	استلقيت على مياه البركة للنوم	1
175	تجمد الماء على الموقد.	الماء على الموقد يغلي.	0
176	نسج العنكبوت شبكة.	نسج الحصان شبكة	1
177	اشترت ماين كرافت للعب على جهاز إكس بوكس الخاص بها	اشترت ماين كرافت للعب مع كرة الشبكة	1
178	وضعت الهاتف في حقيبتها.	وضعت منزل في محفظتها.	1
179	أخذت الكمبيوتر المحمول في السيارة	أخذت دبابة قتال في السيارة.	1
180	وضع الحذاء في فمه	وضع الحبوب في فمه.	0
181	وضع قبعة على رأسه	وضع إبريق شاي على رأسه	1
182	لن تجد كلبًا يحب أكل اللحوم أبدًا.	حب الكلب يأكل اللحم.	0
183	هو فتح الباب	الباب فُتح.	1
184	ركب سيارته عبر المحيط	ركب سيارته عبر الطريق السريع	0
185	أضع صالة البولينغ على الأريكة	أضع كلبي على الأريكة	0
186	كانت هناك نملة ملفوفة حول شجرة.	كان هناك ثعبان ملفوف حول شجرة.	0
187	لعب البيانو بأصابعه.	لعب البيانو بسفينة.	1
188	سكين جيب عديم الفائدة.	سكين الجيب مفيد جدا.	0
189	أكل شطيرة من لحم الخنزير	أكل شطيرة من لحم الأسد	1
190	تعض القطة كرة مطاطية.	القطة لدغة سحابة.	1
191	صعدت السمكة إلى السيارة وانطلقت	صعد الرجل إلى السيارة وانطلق	0
192	كليفلاند هي دولة في أمريكا	أوهايو دولة في أمريكا	0
193	لقد قمت بشوي كعكة خالية من الغلوتين.	خبزت كعكة خالية من الغلوتين.	0
194	يلعب التنس بكرة السلة	يلعب التنس بكرة التنس	0
195	كان هناك الكثير من الناس يسحبون كتلة ضخمة عشرة أطنان.	كان هناك شخص يسحب كتلة ضخمة عشرة أطنان.	1
196	جهاز كمبيوتر يوميا يبعد الأطباء	عبارة معناها أن أكل التفاح يساعد الإنسان على الصمود والحفاظ على الصحة	0
197	وضعت قميصا على قدمها.	وضعت الحذاء على قدمها.	0
198	سقط المطر من السماء	الحيتان تمطر من السماء.	1
199	يمكن للطفل التنفس النار.	يمكن للطفل إغلاق باب.	0
200	كان هناك حمار وحشي يصطاد أسدا.	كان هناك أسد يصطاد حمار وحشي.	0
201	طارد الكلب القط.	طارد الكلب السرير.	1
202	تستخدم المقاييس لقياس المسافات بين الأشياء	يتم استخدام المسطرة لقياس المسافة بين الأشياء	0
203	من المرجح أن يركل لاعب كرة قدم.	لن يركل لاعب كرة قدم أبداً.	1
204	ذهب في عطلة إلى الدجاج	ذهب في عطلة لتركيا	0
205	عندما يكون الظلام في المنزل ، يمكنك تشغيل السخانات	عندما يكون الظلام في المنزل ، يمكنك تشغيل الضوء	0
206	تعد الوصفة طريقة رائعة لطهي وجبة الذواقة وتجنب الأخطاء الطفيفة في المطبخ.	إن طهي وجبات الطعام هو الطريقة الأولى لارتكاب الأخطاء مثل حرائق المطبخ.	1
207	يشرب البيرة في كلب	يشرب البيرة في كوب	0
208	عادت العائلة من القمر	عادت العائلة من السينما	0
209	السكر حلو للبشر	السكر ضار للبشر	1
210	كثيرا ما تمطر في لندن	كثيرا ما تمطر في الصحراء	1
211	تناول الرجل سيارة على العشاء	تناول الرجل بيتزا على العشاء	0
212	غسلت شعرها بالشامبو	غسلت شعرها بالحليب	1
213	يمكن أن يكون المشي في الحديقة مفيدًا لصحتك	يمكن أن يكون أخذ مكب نفايات في الحديقة مفيدًا لصحتك	1
214	شيء تجده في دورة المياه هو زملاء العمل	شيء تجده في دورة المياه هو ديناصور حي	1
215	قفزت في مياه البركة.	قفزت في ماء كوب.	1
216	تعيش في منزل.	تعيش في كرة ثلجية.	1
217	جون يعزف على البيانو.	جون يعزف الحليب.	1
218	لا يمكنك ترطيب نفسك بشرب الماء.	الناس يشربون الماء لترطيب أنفسهم.	0
219	أتناول دوائي	دوائي يأخذني	1
220	سحب الماء من الزجاجة.	سحب مروحة من الزجاجة.	1
221	غداً هو يوم الجمعه	غدا زجاجة ماء.	1
222	طهي سرير في المقلاة.	طهي الحليب في المقلاة.	0
223	لا يمكن تنظيف الأطباق المتسخة في غسالة الصحون.	يمكن تنظيف الأطباق المتسخة في غسالة الصحون.	0
224	وضع قطة في مجلس الوزراء.	وضع سمكة قرش في مجلس الوزراء.	1
225	الفتاة تحب أكل الحلويات.	الفتاة تحب أكل البلاستيك.	1
226	نباح القطة على عامل البريد.	نبح الكلب على ساعي البريد.	0
227	إذا كنت تشرب الكثير في الحانة سوف تصبح ثملا	إذا كنت قبل أن تذهب إلى الحانة وتشرب الكثير ، ثم بعد ذلك تكون في حالة سكر	1
228	لعبت المرأة التلفزيون	لعبت المرأة كرة القدم	0
229	يطير النسر عميقًا في المحيط	طار النسر عاليا في السماء	0
230	ذهبت إلى الحديقة يوم الأحد	ذهبت إلى القمر يوم الأحد	1
231	200 مائة	100 مائة	0
232	ركضت في المضمار.	ركضت في الخزانة.	1
233	شرب عصير التفاح	كان يشرب الورق	1
234	كانت الفتاة نائمة على الأريكة	كانت الفتاة نائمة على ملعقة	1
235	كتبت شيء على الأرض	كتبت شيء على لوحة المفاتيح	0
236	طارت الطائرة إلى تركيا	سبحت الطائرة تركيا	1
237	زار طبيب أسنان لفحص ألم أسنانه	زار ميكانيكيًا لفحص من آلام أسنانه	1
238	يطير الكلب ثلاث مرات في اليوم.	الكلب يمشي ثلاث مرات في اليوم.	0
239	تحتاج إلى شراء تذكرة لدخول السينما	تحتاج إلى جواز سفرك لدخول السينما	1
240	لم يكن يريد المغادرة من داخل صندوق البريد الخاص به.	لم يكن يريد المغادرة من داخل منزله.	0
241	فتح الباب بحذاء.	فتح الباب بمفتاح.	0
242	اصطحب كلبه إلى مصفف الشعر لإجراء فحص طبي.	أخذ كلبه إلى الطبيب البيطري لإجراء فحص طبي.	0
243	من الأشياء التي تفعلها عند الاستيقاظ هو تنظيف أسنانك	أحد الأشياء التي تفعلها عندما تستيقظ هي أن تقول ليلة سعيدة	1
244	كان الأطفال سعداء برؤية المهرج	كان الأطفال سعداء برؤية الوحش	1
245	نحت لحم الخنزير بسكين.	نحت لحم الخنزير بملعقة.	1
246	أخذ كلبه إلى الطبيب البيطري لأخذ لقاحاته	أخذ كلبه إلى صالة الألعاب الرياضية لأخذ لقاحاته	1
247	في الصباح عندما أستيقظ ، أتناول الإفطار.	في الصباح عندما أستيقظ ، أتناول العشاء.	1
248	البطاطس هي جمع البطاطا	البطاطا هي جمع البطاطا	0
249	لقد وجدت مفكرة على طاولة.	لقد وجدت صابونًا على طاولة.	1
250	شيء قد تفعله أثناء قيادة سيارتك يتم دفعه على الفرامل	شيء قد تفعله أثناء قيادة سيارتك هو التحليق بالطائرة	1
251	ذهب الناس إلى المطعم للصلاة	ذهب الناس إلى الكنيسة للصلاة	0
252	اتصل بالشرطة للشكوى من السارق	ودعا المصرفي للشكوى من السرقة	1
253	ستائر تسمح بدخول مزيد من الضوء إلى الغرفة.	ستائر تمنع الضوء من دخول الغرفة.	0
254	أرسل رسالة نصية في صندوق الغداء	أرسل رسالة نصية من خلال الهاتف المحمول	0
255	الكرسي بذراعين هو المكان الذي يجلس فيه الناس ويستريحون	الموقد حيث يجلس الناس والاسترخاء	1
256	حُكم عليه بالإعدام في محاكمة.	حكم المتهم على هيئة المحلفين بالإعدام.	1
257	يشرب البنزين كل صباح	يشرب الشاي كل صباح	0
258	قرأ جيمس الصفحة الأخيرة من الكتاب وأعادها إلى رف الكتب.	قرأ جيمس الصفحة الأخيرة من الكتاب وشرع في تناوله.	1
259	قادت سيارتها حول السوبر ماركت لجمع الأغراض البقالة	دفعت عربتها حول السوبر ماركت لجمع الأغراض من البقالة	0
260	يمكنك مشاهدة الصور في المتحف	يمكنك شراء صور في متحف	1
261	حزم ملابسه بقلم	حزم ملابسه في حقيبة	0
262	وضعت حذائها على قدميها	وضعت قميصها على قدميها	1
263	اشترى طبق لطهي الطعام	اشترى الدجاج لطهي الطعام	0
264	أريد أن ألعب كرة القدم على غيتاري	أريد أن ألعب كرة القدم على جهاز إكس بوكس	0
265	قام الطالب بنسخ ملاحظات أساتذته.	طالب الطالب مذكرات أساتذته.	1
266	تستخدم الهواتف المحمولة في التنظيف	الهواتف المحمولة سهلة الحمل	0
267	يتم استخدام السرير للنوم	يتم استخدام السرير لمشاهدة التلفزيون	1
268	شرب صديقي العصير في كأس.	شرب صديقي الرمال في كوب.	1
269	لقد وضعت فطيرة في الفرن.	وضعت فطيرة في حوض الاستحمام.	1
270	كانت تأكل الحذاء	كانت تأكل الشوكلاتة	0
271	دخلت إلى حوض الاستحمام للنوم.	نمت في الفراش للنوم.	0
272	وضعت بيتزا في الفرن.	لقد وضعت غوريلا في الفرن.	1
273	يتم استخدام المظلة خلال يوم ممطر.	يستخدم واقي الشمس خلال يوم ممطر.	1
274	يمكننا طهي الطعام في المطبخ	يمكننا الاستحمام في المطبخ	1
275	الطعام المخبوز لفترة أطول من الموصى به يمكن أن يحرق	الأطعمة المبردة لفترة أطول من الموصى بها يمكن أن تحترق	1
276	قاد جيم إلى المركز التجاري	قاد المركز التجاري إلى جيم	1
277	قامت بتسخين الماء لصنع الشاي.	قامت بتسخين الماء لصنع الآيس كريم.	1
278	السيف هو سلاح	دمية هو سلاح	1
279	الكوكب له شكل مربع	كوكب له شكل كروي	0
280	وضع الديك الرومي المجمد في الفريزر.	وضع قطة في الفريزر.	1
281	العشب أخضر	العشب برتقالي	1
282	معظم النباتات لها أوراق خضراء.	يمكن أن يكون للنبات جاموس لتناول العشاء.	1
283	أعطى الطبيب اللقاح عن طريق الحقن	أعطى الطبيب اللقاح من خلال سماعة الطبيب	1
284	بيتي مثلي الجنس.	بيتي هو الأبيض.	0
285	يمكنك شراء السجائر في زجاجات	يمكنك شراء البيرة في زجاجات	0
286	تناول الكثير من الطعام يجعلك سمينًا	تناول الكثير من الطعام يجعلك طويل القامة	1
287	الصفات هي جزء من الكلام	الصفات هي جزء من البيتزا	1
288	تمطر في بعض الأحيان وهو أمر مروع للأشجار والعشب.	تمطر في بعض الأحيان وهو أمر جيد للأشجار والعشب.	0
289	إذا ماتت ستشتري منزلا جديدا.	إذا ماتت فلن تشتري أي شيء بعد الآن.	0
290	قفز الكلب فوق السجل.	قفز السجل فوق كلب.	1
291	عملت على السؤال على الآلة الحاسبة	حللت الإجابة على الآلة الحاسبة	0
292	قامت بتعليق مصعد على الحائط.	علقت إطار صورة على الحائط.	0
293	تؤثر اضطرابات القلق على حوالي 10 ٪ من الناس في وقت واحد.	10٪ من الأشخاص المضطربين قلقون من أي شيء طوال الوقت.	1
294	القوارب تبحر على الماء.	القوارب تبحر على الرمال.	1
295	اللصوص هم أهل الخير	الأطباء هم أهل الخير	0
296	ارتديت ربطة عنق سوداء للجنازة	ارتديت ربطة قوس قزح في الجنازة	1
297	وبخ الطلاب المعلم	وبخ المعلم الطلاب	0
298	قاموا بتشغيل الموقد لمشاهدة برنامجهم المفضل	قاموا بتشغيل التلفزيون لمشاهدة برنامجهم المفضل	0
299	أبقى الآيس كريم في الفرن	احتفظ بالآيس كريم في المجمد	0
300	كانت تحمر المكسرات في مقلاة ساخنة	كانت تقلى المكسرات في المجمد	1
301	تعلم لغة أمر سهل	تعلم كيفية ركوب الدراجات سهل	0
302	وضعت ميشيل جهاز تلفزيون في الجزء الخلفي من سيارتها.	وضعت ميشيل أريكة في مؤخرة سيارتها	1
303	ستجد صخرة في الجبل	ستجد سمكة قرش في جبل	1
304	عبرت عبارة النهر على السيارة.	عبرت السيارة عبر عبارة النهر.	0
305	لقد جعل المطر قميصي مبللاً.	جعلت الشمس قميصي مبللا.	1
306	كانت تسبح بزيت ساخن.	كانت تسبح في الماء الساخن.	0
307	تحب بيلا الرقص في قاعة رقص في سيارتها الوردية.	تحب بيلا الرقص في قاعة رقص بفستانها الوردي	0
308	عادة ما يستخدم البيض ككرة كريكيت	يستخدم البيض عادة لتناول الطعام	0
309	شيء واحد ستراه في متجر تغيير الإطارات هو الضاغط	شيء واحد ستراه في متجر تغيير الإطارات هو صانع العصير	1
310	المظلات وسيلة جيدة للتواصل	الهواتف المحمولة هي وسيلة جيدة للاتصال	0
311	المعاطف الشتوية مفيدة في درجات الحرارة الباردة.	المعاطف الشتوية مفيدة في الصيف.	1
312	هو أكل تفاحة	هو أكل هاتف محمول	1
313	أقلام الرصاص تحتوي على قلب الشوكولاتة	أقلام الرصاص تحتوي على نواة الجرافيت	0
314	قطع الجبن بسكين	قطع الجبن بالفأس	1
315	أخذ عائلته إلى المطعم لتناول العشاء	أخذ عائلته إلى مطعم لمشاهدة لفيلم	1
316	يلعب اللاعبون كرة القدم بالأحذية الرياضية	اللاعبون يلعبون كرة القدم بالأحذية الجبلية	1
317	كان انعكاسه غير مرئي في المرآة.	كان انعكاسه مرئيًا في المرآة	0
318	كان يأكل انمقانق المقلية	كان يأكل الملعقة	1
319	سوف أعزف الطاولة في الصف غدًا أمام الطلاب	سوف أعزف الجيتار في الصف غدًا أمام الطلاب	0
320	مخرطة تستخدم لتشكيل المواد.	المخرطة هي فقط لصنع أرجل الطاولة.	1
321	الماء هو مشروب بلون بني	القهوة مشروب باللون البني	0
322	يستخدم الناس الكمبيوتر لكسب المال.	يستخدم الكمبيوتر الناس لكسب المال.	1
323	شرطي يحمل سيفا.	شرطي يحمل بندقية.	0
324	يمكن للناس تجديف القوارب.	يمكن للقوارب تجديف الناس.	1
325	تم بناء الجسور لجذب السياح	تم بناء الجسور لعبور الأنهار	0
